effect_id,category,study_id,exp_id,outcome_pattern,effect_direction,name_ctrl,n_ctrl,mean_ctrl,sd_ctrl,name_int,n_int,mean_int,sd_int,overall_rob
142,Stress,Reddy_2018,Reddy_2018_exp_001,time_in_social,direct,Control,12,48.513,28.32076275,Chronic unpredictable stress,12,11.916,11.86801213,High
143,Stress,Reddy_2019,Reddy_2019_exp_001,time_in_social,direct,Control,15,50.592845,20.27349926,Chronic unpredictable stress,15,22.74096,25.34180146,High
144,Stress,Reddy_2021,Reddy_2021_exp_001,time_in_social,direct,Control,30,35.263,32.30335604,Chronic unpredictable stress,30,4.925,4.464309717,High
145,Stress,Sachett_2022,Sachett_2022_exp_001,time_in_social,direct,Control,17,245.4983,41.695915,Chronic unpredictable stress,17,212.762875,70.7949,High
146,Stress,Liu_2024,Liu_2024_exp_001,time_in_social,direct,Control,8,33.45217,35.03296908,Cold water,8,63.37279,35.06729204,Low
147,Stress,Barcellos_2020,Barcellos_2020_exp_001,time_in_social,direct,Control,10,30.8915,21.8792658,Net chasing,10,1.7225,2.871740239,High
148,Stress,Tamagno_2022_A,Tamagno_2022_A_exp_001,time_in_social,direct,Control,24,2.138745,4.12765966,Net chasing,24,5.26451,7.061462515,High
149,Stress,Tamagno_2022_A,Tamagno_2022_A_exp_002,time_in_social,direct,Control,24,1.12623,2.415588805,Net chasing,24,7.05941,6.433682789,High
150,Stress,Cook_2023,Cook_2023_exp_001,time_in_social,direct,Control,20,73.546,26.53765476,Simulated predator,19,53.664,26.62415475,Low
151,Stress,Cook_2023,Cook_2023_exp_001,time_in_social,direct,Control,20,73.546,26.53765476,Simulated predator,20,39.3965,36.35175711,Low
152,Stress,Cook_2023,Cook_2023_exp_001,time_in_social,direct,Control,20,73.546,26.53765476,Simulated predator,19,36.507,37.35140505,Low
153,Stress,Fulcher_2016,Fulcher_2016_exp_001,distance_to_social,indirect,Control,11,14.2592425,13.5843397,Social isolation,11,14.41373,10.59794522,High
154,Stress,Marchetto_2021,Marchetto_2021_exp_001,time_in_social,direct,Control,12,34.291615,19.10083114,Social isolation,12,26.812015,20.67559441,High
155,Stress,Müller_2024,Müller_2024_exp_001,time_in_social,direct,Control,12,96.443,13.00943362,Social isolation,12,34.889,28.70354598,High
156,Stress,Shams_2017_B,Shams_2017_B_exp_001,distance_to_social,indirect,Control,12,15.029,9.460461511,Social isolation,10,8.0335,5.053319701,High
157,Stress,Shams_2017_B,Shams_2017_B_exp_001,distance_to_social,indirect,Control,12,15.029,9.460461511,Social isolation,8,15.528,8.342445804,High
158,Stress,Shams_2017_B,Shams_2017_B_exp_002,distance_to_social,indirect,Control,9,7.2385,4.131,Social isolation,10,9.9125,8.291492025,High
159,Stress,Shams_2017_B,Shams_2017_B_exp_002,distance_to_social,indirect,Control,9,7.2385,4.131,Social isolation,9,10.5535,4.194,High
